household_key,beverage_spend,beverage_units,beverage_baskets,beverage_promo_revenue,coupon_baskets,promo_purchase_share,coupon_usage_rate,repeat_purchase_rate,total_spend,total_baskets,avg_basket_value,recency_days,beverage_basket_penetration,frequency,monetary,segment,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
1,389.08,128,58,260.78000000000003,2,0.6702477639559988,0.034482758620689655,0.5686274509803921,4330.16,86,50.350697674418605,5,0.6744186046511628,86,389.08,High-Value Beverage Buyers,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
2,233.73,93,26,151.31,2,0.6473708980447526,0.07692307692307693,0.2549019607843137,1954.34,45,43.42977777777777,43,0.5777777777777777,45,233.73,Promo-Sensitive Shoppers,,,,,,,
3,245.91,160,37,191.29,1,0.7778862185352364,0.02702702702702703,0.3627450980392157,2653.21,47,56.45127659574468,8,0.7872340425531915,47,245.91,Promo-Sensitive Shoppers,,,,,,,
4,53.53,12,7,20.490000000000002,1,0.3827760134504017,0.14285714285714285,0.06862745098039216,1200.1100000000001,30,40.00366666666667,84,0.23333333333333334,30,53.53,Coupon-Driven Shoppers,,,,,,,
5,74.75,36,12,66.86,0,0.894448160535117,0.0,0.11764705882352941,779.0600000000001,40,19.4765,8,0.3,40,74.75,Promo-Sensitive Shoppers,,,,,,,
6,514.13,169,86,266.2,0,0.5177678797191372,0.0,0.8431372549019608,5996.16,250,23.98464,4,0.344,250,514.13,High-Value Beverage Buyers,,,,,,,
7,216.76,94,36,102.57,0,0.4731961616534416,0.0,0.35294117647058826,3400.05,59,57.627966101694916,2,0.6101694915254238,59,216.76,Promo-Sensitive Shoppers,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
8,330.86,148,54,246.53,1,0.745118781357674,0.018518518518518517,0.5294117647058824,5534.97,113,48.98203539823009,5,0.4778761061946903,113,330.86,Promo-Sensitive Shoppers,25-34,U,25-34K,Unknown,2 Adults Kids,3,1
9,72.2,17,10,31.729999999999997,0,0.43947368421052624,0.0,0.09803921568627451,797.42,20,39.870999999999995,22,0.5,20,72.2,Promo-Sensitive Shoppers,,,,,,,
10,7.72,12,4,2.0,0,0.2590673575129534,0.0,0.0392156862745098,234.34,9,26.037777777777777,26,0.4444444444444444,9,7.72,Low-Engagement Shoppers,,,,,,,
11,2.0,2,2,2.0,0,1.0,0.0,0.0196078431372549,33.39,5,6.678,299,0.4,5,2.0,Promo-Sensitive Shoppers,,,,,,,
12,10.57,3,2,6.880000000000001,0,0.6508987701040682,0.0,0.0196078431372549,266.21,7,38.029999999999994,207,0.2857142857142857,7,10.57,Promo-Sensitive Shoppers,,,,,,,
13,650.96,271,89,419.4,11,0.6442792183851541,0.12359550561797752,0.8725490196078431,13190.92,275,47.96698181818182,2,0.3236363636363636,275,650.96,High-Value Beverage Buyers,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2
14,262.58,154,57,189.62,4,0.7221418234442837,0.07017543859649122,0.5588235294117647,2761.19,140,19.722785714285713,7,0.40714285714285714,140,262.58,Promo-Sensitive Shoppers,,,,,,,
15,91.78,39,13,51.03,1,0.5560034865983875,0.07692307692307693,0.12745098039215685,972.53,55,17.682363636363636,6,0.23636363636363636,55,91.78,Promo-Sensitive Shoppers,,,,,,,
16,43.67,17,13,29.78,0,0.6819326768948936,0.0,0.12745098039215685,1512.02,98,15.428775510204082,21,0.1326530612244898,98,43.67,Promo-Sensitive Shoppers,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown
17,605.03,337,56,266.91,3,0.44115167842916886,0.05357142857142857,0.5490196078431373,5139.63,124,41.44862903225807,22,0.45161290322580644,124,605.03,High-Value Beverage Buyers,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
18,425.44,195,59,223.89000000000001,10,0.5262551711169613,0.1694915254237288,0.5784313725490197,7118.91,163,43.67429447852761,0,0.3619631901840491,163,425.44,High-Value Beverage Buyers,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown
19,1073.8,725,202,772.08,2,0.7190165766436953,0.009900990099009901,1.0,11299.61,421,26.83992874109264,0,0.47980997624703087,421,1073.8,High-Value Beverage Buyers,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown
20,575.66,138,110,281.3,0,0.4886564986276622,0.0,1.0,7486.11,387,19.343953488372094,0,0.2842377260981912,387,575.66,High-Value Beverage Buyers,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown
21,67.01,42,11,29.77,0,0.44426205044023276,0.0,0.10784313725490197,870.11,27,32.2262962962963,29,0.4074074074074074,27,67.01,Promo-Sensitive Shoppers,,,,,,,
22,279.51,84,39,199.37,7,0.7132839612178455,0.1794871794871795,0.38235294117647056,6256.04,136,46.00029411764706,0,0.2867647058823529,136,279.51,Coupon-Driven Shoppers,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
23,164.52,54,30,116.66,0,0.7090931193775832,0.0,0.29411764705882354,3158.58,110,28.714363636363636,0,0.2727272727272727,110,164.52,Promo-Sensitive Shoppers,,,,,,,
