product_id,manufacturer,department,brand,commodity_desc,sub_commodity_desc,curr_size_of_product,beverage_category
27323,69,GROCERY,Private,COFFEE,INSTANT DECAF FLVR COFFEE W/ S,9 OZ,Coffee
27812,69,GROCERY,Private,COFFEE,GROUND COFFEE,34.5 OZ,Coffee
29512,69,GROCERY,Private,CANNED JUICES,TOMATO JUICE (OVER 50% JCE),46 OZ,Juice
30339,414,NUTRITION,National,NON-DAIRY BEVERAGES,SOY BEVERAGE,33.8 OZ,Other Beverages
31126,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
31319,531,GROCERY,National,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,ALL  46 OZ,Juice
32124,103,GROCERY,National,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12 OZ,Carbonated Soft Drinks
32160,69,GROCERY,Private,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,2.50 GA,Carbonated Soft Drinks
32309,16,GROCERY,Private,COFFEE,NON DAIRY CREAMER: DRY,6 OZ,Coffee
32457,531,GROCERY,National,CANNED JUICES,BLENDED JUICE&COMBINATIONS (OV,46 OZ,Juice
33522,1988,NUTRITION,National,JUICE,DRINKS - CARB JUICE (OVER 50%,25.4 OZ,Juice
33548,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS POWDERED,18.4 OZ,Energy/Sports Drinks
34138,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,32 OZ,Energy/Sports Drinks
34142,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,32 OZ,Energy/Sports Drinks
34214,869,GROCERY,National,TEAS,TEA BAGS & BULK TEA,100 CT,Tea
34385,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,32 OZ,Energy/Sports Drinks
34480,456,GROCERY,National,COFFEE,INSTANT COFFEE REGULAR,8 OZ,Coffee
35895,1208,GROCERY,National,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,33.8 OZ,Carbonated Soft Drinks
36071,456,GROCERY,National,COFFEE,GROUND COFFEE,33.9 OZ,Coffee
36969,531,GROCERY,National,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,46 OZ PET,Juice
37308,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,32 OZ,Energy/Sports Drinks
38266,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,32 OZ,Energy/Sports Drinks
38330,2292,GROCERY,National,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,1.5 LTR,Carbonated Soft Drinks
39463,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,1 GA,Juice
39612,69,GROCERY,Private,WATER - CARBONATED/FLVRD DRINK,SPRING WATER,1 GA,Carbonated Soft Drinks
39839,69,GROCERY,Private,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,1 GA,Carbonated Soft Drinks
40439,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,,Juice
40950,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,1 PT,Juice
41156,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 3 LITER BTL CARB (EXC,3 LTR,Carbonated Soft Drinks
41332,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,1 GA,Juice
41394,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,32 OZ,Energy/Sports Drinks
41410,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE JUICE DRNK UNDER 10,,Juice
41743,69,GROCERY,Private,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,1 GA,Juice
41794,69,GROCERY,Private,SOFT DRINKS,MIXERS(CLUB SODA/SELTZERS)FLAV,,Carbonated Soft Drinks
41976,69,GROCERY,Private,TEAS,TEA BAGS & BULK TEA,100 CT,Tea
42385,1208,GROCERY,National,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,2LTR,Carbonated Soft Drinks
42720,69,GROCERY,Private,TEAS,TEA BAGS & BULK TEA,100 CT,Tea
42832,69,GROCERY,Private,COFFEE,GROUND COFFEE,11.5 OZ,Coffee
43256,69,GROCERY,Private,SOFT DRINKS,SOFT DRINK BOTTLE NON-CARB (EX,,Carbonated Soft Drinks
43269,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 3 LITER BTL CARB (EXC,3 LTR,Carbonated Soft Drinks
43271,1276,GROCERY,National,ISOTONIC DRINKS,ISOTONIC DRINKS MULTI-SERVE,128 OZ,Energy/Sports Drinks
43421,69,GROCERY,Private,COFFEE,GROUND COFFEE,11.5 OZ,Coffee
43637,69,GROCERY,Private,COFFEE,GROUND COFFEE,39 OZ,Coffee
43645,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
43676,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
43974,69,GROCERY,Private,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,24 CT,Carbonated Soft Drinks
43995,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
44186,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
44426,69,GROCERY,Private,COCOA MIXES,MALTED MLK/SYRUP/PWDRS (EGGNOG,24 OZ,Other Beverages
44683,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
44856,69,GROCERY,Private,CANNED JUICES,LEMON JUICE & LIME JUICE (OVER,32 OZ,Juice
45008,69,GROCERY,Private,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,24 CT,Carbonated Soft Drinks
45240,69,GROCERY,Private,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,,Carbonated Soft Drinks
