product_id,total_revenue,units_sold,avg_selling_price,promo_revenue,non_promo_revenue,promo_units,non_promo_units,promo_weeks,non_promo_weeks,promo_velocity,non_promo_velocity,promotion_lift,beverage_category,category_avg_lift,lift_index_vs_category
27323,2.69,1,2.69,2.69,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
27812,25.05,5,5.01,19.46,5.59,4,1,4,1,1.0,1.0,1.0,Coffee,1.311586973965421,0.7624351414352826
29512,0.99,1,0.99,0.0,0.99,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
30339,2.69,1,2.69,0.0,2.69,0,1,0,1,0.0,1.0,0.0,Other Beverages,1.592246006372412,0.0
31126,7.32,2,3.66,7.32,0.0,2,0,1,0,2.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
31319,4.78,2,2.39,0.0,4.78,0,2,0,1,0.0,2.0,0.0,Juice,1.520044946049398,0.0
32124,26.009999999999998,9,2.9387499999999998,26.009999999999998,0.0,9,0,8,0,1.125,0.0,,Carbonated Soft Drinks,1.8416478312836793,
32160,2.49,1,2.49,0.0,2.49,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
32309,0.69,1,0.69,0.69,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
32457,2.59,1,2.59,0.0,2.59,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
33522,2.0,1,2.0,2.0,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
33548,4.99,1,4.99,0.0,4.99,0,1,0,1,0.0,1.0,0.0,Energy/Sports Drinks,1.4467617422146801,0.0
34138,2.0,2,1.0,0.0,2.0,0,2,0,2,0.0,1.0,0.0,Energy/Sports Drinks,1.4467617422146801,0.0
34142,2.8,3,0.9333333333333332,0.8,2.0,1,2,1,2,1.0,1.0,1.0,Energy/Sports Drinks,1.4467617422146801,0.6911988137516104
34214,2.99,1,2.99,0.0,2.99,0,1,0,1,0.0,1.0,0.0,Tea,1.2953467409932147,0.0
34385,1.8,2,0.9,0.8,1.0,1,1,1,1,1.0,1.0,1.0,Energy/Sports Drinks,1.4467617422146801,0.6911988137516104
34480,5.19,1,5.19,0.0,5.19,0,1,0,1,0.0,1.0,0.0,Coffee,1.311586973965421,0.0
35895,0.99,1,0.99,0.0,0.99,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
36071,28.96,4,7.24,4.99,23.97,1,3,1,3,1.0,1.0,1.0,Coffee,1.311586973965421,0.7624351414352826
36969,2.59,1,2.59,0.0,2.59,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
37308,2.8,3,0.9333333333333332,0.8,2.0,1,2,1,2,1.0,1.0,1.0,Energy/Sports Drinks,1.4467617422146801,0.6911988137516104
38266,3.8,4,0.95,0.8,3.0,1,3,1,3,1.0,1.0,1.0,Energy/Sports Drinks,1.4467617422146801,0.6911988137516104
38330,1.99,1,1.99,0.0,1.99,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
39463,5.98,2,2.99,0.0,5.98,0,2,0,1,0.0,2.0,0.0,Juice,1.520044946049398,0.0
39612,22.48,32,0.705,2.0,20.48,4,28,1,8,4.0,3.5,1.1428571428571428,Carbonated Soft Drinks,1.8416478312836793,0.6205622613855223
39839,2.25,3,0.75,0.0,2.25,0,3,0,2,0.0,1.5,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
40439,1.99,1,1.99,0.0,1.99,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
40950,0.85,1,0.85,0.0,0.85,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
41156,0.95,1,0.95,0.0,0.95,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
41332,72.74,25,2.9095999999999997,4.49,68.25000000000001,2,23,2,23,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
41394,1.0,1,1.0,1.0,0.0,1,0,1,0,1.0,0.0,,Energy/Sports Drinks,1.4467617422146801,
41410,1.0,1,1.0,1.0,0.0,1,0,1,0,1.0,0.0,,Juice,1.520044946049398,
41743,22.810000000000002,8,2.8512500000000003,8.48,14.330000000000002,3,5,3,5,1.0,1.0,1.0,Juice,1.520044946049398,0.6578752836217135
41794,0.69,1,0.69,0.69,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
41976,1.99,1,1.99,0.0,1.99,0,1,0,1,0.0,1.0,0.0,Tea,1.2953467409932147,0.0
42385,13.43,11,1.24,10.65,2.78,9,2,5,2,1.8,1.0,1.8,Carbonated Soft Drinks,1.8416478312836793,0.9773855616821977
42720,1.99,1,1.99,1.99,0.0,1,0,1,0,1.0,0.0,,Tea,1.2953467409932147,
42832,11.07,6,1.948888888888889,8.78,2.29,5,1,2,1,2.5,1.0,2.5,Coffee,1.311586973965421,1.9060878535882064
43256,6.449999999999999,11,0.5863636363636363,0.0,6.449999999999999,0,11,0,11,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
43269,0.95,1,0.95,0.0,0.95,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
43271,3.5,1,3.5,3.5,0.0,1,0,1,0,1.0,0.0,,Energy/Sports Drinks,1.4467617422146801,
43421,1.67,1,1.67,1.67,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
43637,3.99,1,3.99,3.99,0.0,1,0,1,0,1.0,0.0,,Coffee,1.311586973965421,
43645,1.18,2,0.59,0.0,1.18,0,2,0,2,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
43676,1.1400000000000001,2,0.5700000000000001,0.0,1.1400000000000001,0,2,0,2,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
43974,3.59,1,3.59,3.59,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
43995,1.18,2,0.59,0.0,1.18,0,2,0,2,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
44186,0.53,1,0.53,0.0,0.53,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
44426,2.7,2,1.35,0.0,2.7,0,2,0,2,0.0,1.0,0.0,Other Beverages,1.592246006372412,0.0
44683,2.36,4,0.59,0.0,2.36,0,4,0,2,0.0,2.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
44856,2.19,1,2.19,0.0,2.19,0,1,0,1,0.0,1.0,0.0,Juice,1.520044946049398,0.0
45008,3.59,1,3.59,3.59,0.0,1,0,1,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
45240,9.219999999999999,16,0.5762499999999999,0.0,9.219999999999999,0,16,0,16,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
45308,5.7,2,2.85,0.0,5.7,0,2,0,2,0.0,1.0,0.0,Tea,1.2953467409932147,0.0
45465,2.36,4,0.59,0.0,2.36,0,4,0,4,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
45680,5.4399999999999995,2,2.7199999999999998,2.59,2.85,1,1,1,1,1.0,1.0,1.0,Tea,1.2953467409932147,0.771994067961482
45878,3.99,1,3.99,0.0,3.99,0,1,0,1,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
45977,2.19,1,2.19,2.19,0.0,1,0,1,0,1.0,0.0,,Tea,1.2953467409932147,
45999,1.77,3,0.59,0.0,1.77,0,3,0,3,0.0,1.0,0.0,Carbonated Soft Drinks,1.8416478312836793,0.0
46041,6.0,6,1.0,6.0,0.0,6,0,6,0,1.0,0.0,,Juice,1.520044946049398,
46118,3.09,2,1.545,0.0,3.09,0,2,0,2,0.0,1.0,0.0,Juice,1.520044946049398,0.0
46352,7.0,2,3.5,7.0,0.0,2,0,2,0,1.0,0.0,,Carbonated Soft Drinks,1.8416478312836793,
46533,2.85,1,2.85,0.0,2.85,0,1,0,1,0.0,1.0,0.0,Tea,1.2953467409932147,0.0
